listing_id,nb_reviews,neg_proprete,pct_proprete,neg_bruit,pct_bruit,neg_confort_literie,pct_confort_literie,neg_temperature,pct_temperature,neg_accueil,pct_accueil
2758236,313,3,1.0,13,4.2,3,1.0,0,0.0,1,0.3
2808914,429,1,0.2,17,4.0,1,0.2,0,0.0,1,0.2
2835903,9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2878090,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2888908,16,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2922867,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2944617,203,3,1.5,3,1.5,1,0.5,0,0.0,0,0.0
2949170,64,1,1.6,1,1.6,1,1.6,1,1.6,0,0.0
2953947,60,0,0.0,0,0.0,1,1.7,0,0.0,0,0.0
2964957,25,0,0.0,1,4.0,0,0.0,0,0.0,0,0.0
2992161,79,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3001326,7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3018068,44,1,2.3,4,9.1,1,2.3,0,0.0,0,0.0
3065931,13,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3078265,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3081949,11,0,0.0,2,18.2,0,0.0,0,0.0,0,0.0
3126717,8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3131295,8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3133891,98,0,0.0,0,0.0,2,2.0,0,0.0,0,0.0
3156633,265,6,2.3,0,0.0,1,0.4,0,0.0,0,0.0
3159287,41,0,0.0,1,2.4,0,0.0,0,0.0,0,0.0
3187976,27,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3190584,548,2,0.4,6,1.1,3,0.5,2,0.4,1,0.2
3196390,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3204509,23,0,0.0,1,4.3,0,0.0,0,0.0,0,0.0
3218969,24,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3226950,256,0,0.0,2,0.8,1,0.4,0,0.0,0,0.0
3233259,48,2,4.2,2,4.2,0,0.0,0,0.0,0,0.0
3280164,124,1,0.8,0,0.0,0,0.0,1,0.8,0,0.0
3297318,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3310484,13,1,7.7,0,0.0,0,0.0,0,0.0,0,0.0
3313893,44,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3331225,95,1,1.1,1,1.1,0,0.0,0,0.0,0,0.0
3333495,206,1,0.5,7,3.4,2,1.0,0,0.0,0,0.0
3337935,24,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3369061,229,1,0.4,3,1.3,1,0.4,0,0.0,0,0.0
3382402,84,0,0.0,1,1.2,3,3.6,0,0.0,0,0.0
3384484,309,2,0.6,16,5.2,1,0.3,2,0.6,0,0.0
3393655,76,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3440747,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3451888,13,2,15.4,1,7.7,1,7.7,0,0.0,0,0.0
3469467,132,2,1.5,2,1.5,1,0.8,0,0.0,0,0.0
3526599,4,0,0.0,1,25.0,0,0.0,0,0.0,0,0.0
3559258,32,2,6.2,0,0.0,0,0.0,0,0.0,0,0.0
3570100,70,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3576089,68,0,0.0,4,5.9,1,1.5,0,0.0,0,0.0
3581536,13,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3582925,9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3584354,272,1,0.4,7,2.6,0,0.0,1,0.4,0,0.0
3591392,133,1,0.8,0,0.0,1,0.8,0,0.0,0,0.0
3591507,331,3,0.9,2,0.6,1,0.3,0,0.0,2,0.6
3619747,39,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3640643,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3641244,7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3657549,18,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3665083,54,0,0.0,15,27.8,1,1.9,0,0.0,0,0.0
3681295,63,1,1.6,0,0.0,1,1.6,1,1.6,0,0.0
3692056,136,1,0.7,0,0.0,0,0.0,0,0.0,0,0.0
3693784,228,1,0.4,6,2.6,0,0.0,0,0.0,1,0.4
3703259,15,1,6.7,3,20.0,0,0.0,0,0.0,0,0.0
3706599,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3718301,796,6,0.8,3,0.4,2,0.3,0,0.0,0,0.0
3738130,446,1,0.2,7,1.6,3,0.7,0,0.0,0,0.0
3753674,21,1,4.8,1,4.8,0,0.0,0,0.0,0,0.0
3755668,12,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3799160,32,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3810262,332,7,2.1,22,6.6,3,0.9,2,0.6,2,0.6
3846631,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3880898,72,0,0.0,1,1.4,0,0.0,0,0.0,0,0.0
3913837,11,0,0.0,1,9.1,0,0.0,0,0.0,0,0.0
3934718,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3941183,26,0,0.0,0,0.0,0,0.0,2,7.7,0,0.0
3998507,162,1,0.6,9,5.6,0,0.0,0,0.0,0,0.0
4037369,147,1,0.7,1,0.7,1,0.7,2,1.4,0,0.0
4066801,149,0,0.0,6,4.0,1,0.7,0,0.0,0,0.0
4097094,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4097548,61,0,0.0,1,1.6,0,0.0,2,3.3,0,0.0
4126636,197,1,0.5,6,3.0,4,2.0,0,0.0,0,0.0
4154174,317,0,0.0,1,0.3,0,0.0,0,0.0,0,0.0
4168926,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4179569,28,0,0.0,1,3.6,1,3.6,0,0.0,0,0.0
4320466,12,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4320647,150,5,3.3,4,2.7,0,0.0,0,0.0,1,0.7
4337309,8,0,0.0,1,12.5,0,0.0,0,0.0,0,0.0
4362032,1,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0
4370385,114,1,0.9,1,0.9,2,1.8,1,0.9,0,0.0
4434546,57,0,0.0,3,5.3,0,0.0,0,0.0,0,0.0
4450127,410,1,0.2,10,2.4,0,0.0,1,0.2,0,0.0
4462741,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4469211,55,0,0.0,1,1.8,0,0.0,0,0.0,0,0.0
4499381,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4526584,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4529917,41,1,2.4,2,4.9,0,0.0,0,0.0,0,0.0
4535843,23,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4542465,16,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4573713,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4586780,141,3,2.1,0,0.0,0,0.0,1,0.7,0,0.0
4599695,47,1,2.1,1,2.1,0,0.0,0,0.0,0,0.0
4625923,195,5,2.6,11,5.6,1,0.5,0,0.0,0,0.0
4646325,106,1,0.9,2,1.9,1,0.9,0,0.0,0,0.0
4655216,324,3,0.9,7,2.2,0,0.0,0,0.0,0,0.0
4684898,18,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4698123,217,0,0.0,3,1.4,3,1.4,0,0.0,0,0.0
4703188,11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4706560,117,2,1.7,9,7.7,2,1.7,0,0.0,0,0.0
4725493,32,0,0.0,1,3.1,0,0.0,0,0.0,0,0.0
4726677,25,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4735196,71,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4742378,65,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4745499,104,0,0.0,1,1.0,1,1.0,0,0.0,0,0.0
4756782,194,0,0.0,1,0.5,2,1.0,0,0.0,0,0.0
4763111,44,1,2.3,0,0.0,0,0.0,0,0.0,0,0.0
4783500,32,0,0.0,1,3.1,0,0.0,0,0.0,0,0.0
4836113,18,0,0.0,1,5.6,0,0.0,0,0.0,0,0.0
4837123,24,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4843341,14,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4844883,162,2,1.2,2,1.2,1,0.6,0,0.0,0,0.0
4890204,14,1,7.1,0,0.0,0,0.0,0,0.0,0,0.0
4913025,7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4961740,52,0,0.0,0,0.0,1,1.9,0,0.0,0,0.0
4963475,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4981809,48,0,0.0,0,0.0,0,0.0,1,2.1,0,0.0
5017116,77,0,0.0,1,1.3,0,0.0,0,0.0,0,0.0
5020966,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
5049810,21,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
5056044,52,0,0.0,11,21.2,0,0.0,0,0.0,0,0.0
5102986,34,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
5120031,27,0,0.0,0,0.0,1,3.7,0,0.0,0,0.0
5143998,28,3,10.7,0,0.0,0,0.0,1,3.6,0,0.0
5176260,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
5208992,359,2,0.6,1,0.3,1,0.3,1,0.3,0,0.0
5226843,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
5233852,56,3,5.4,1,1.8,0,0.0,0,0.0,0,0.0
5237904,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
5248027,28,1,3.6,0,0.0,0,0.0,0,0.0,0,0.0
5255599,80,2,2.5,1,1.2,0,0.0,1,1.2,0,0.0
5266024,236,1,0.4,5,2.1,0,0.0,1,0.4,0,0.0
5274884,5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
5279123,97,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
5296866,56,0,0.0,1,1.8,0,0.0,0,0.0,0,0.0
5379902,11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
5407864,372,1,0.3,9,2.4,4,1.1,1,0.3,0,0.0
5411109,751,3,0.4,34,4.5,6,0.8,3,0.4,1,0.1
5413478,169,0,0.0,4,2.4,2,1.2,2,1.2,1,0.6
5431691,513,16,3.1,5,1.0,3,0.6,0,0.0,1,0.2
5470880,44,0,0.0,3,6.8,0,0.0,0,0.0,0,0.0
5541162,119,1,0.8,9,7.6,3,2.5,2,1.7,1,0.8
5569391,14,0,0.0,3,21.4,0,0.0,0,0.0,0,0.0
5615011,104,0,0.0,1,1.0,3,2.9,0,0.0,0,0.0
5622545,80,1,1.2,1,1.2,1,1.2,0,0.0,0,0.0
5644345,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
5666740,47,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
5678939,205,1,0.5,13,6.3,1,0.5,0,0.0,0,0.0
5695944,108,1,0.9,0,0.0,0,0.0,1,0.9,0,0.0
5707114,9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
5721999,254,3,1.2,4,1.6,3,1.2,4,1.6,0,0.0
5729270,705,7,1.0,11,1.6,1,0.1,1,0.1,0,0.0
5748433,295,1,0.3,2,0.7,2,0.7,0,0.0,0,0.0
5765163,49,0,0.0,1,2.0,0,0.0,0,0.0,0,0.0
5765670,7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
5766275,5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
5776292,158,2,1.3,5,3.2,0,0.0,1,0.6,0,0.0
5791014,31,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
5802985,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
5808913,179,0,0.0,0,0.0,1,0.6,1,0.6,0,0.0
5811669,22,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
5821753,378,5,1.3,10,2.6,5,1.3,2,0.5,3,0.8
5822671,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
5822721,371,3,0.8,2,0.5,3,0.8,1,0.3,0,0.0
5828338,12,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
5832512,68,5,7.4,1,1.5,0,0.0,0,0.0,0,0.0
5860555,114,1,0.9,7,6.1,2,1.8,0,0.0,0,0.0
5890138,242,1,0.4,7,2.9,0,0.0,0,0.0,0,0.0
5896482,152,0,0.0,0,0.0,0,0.0,1,0.7,0,0.0
5900050,24,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
5926305,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
5928490,84,0,0.0,1,1.2,0,0.0,0,0.0,0,0.0
5962227,44,1,2.3,1,2.3,0,0.0,0,0.0,0,0.0
5988470,11,1,9.1,0,0.0,0,0.0,0,0.0,0,0.0
5994397,10,1,10.0,0,0.0,0,0.0,0,0.0,0,0.0
6010427,11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
6015588,63,3,4.8,1,1.6,0,0.0,0,0.0,0,0.0
6037021,69,0,0.0,1,1.4,0,0.0,0,0.0,0,0.0
6039639,76,0,0.0,1,1.3,1,1.3,0,0.0,0,0.0
6059873,6,1,16.7,0,0.0,0,0.0,0,0.0,0,0.0
6072724,158,1,0.6,2,1.3,1,0.6,0,0.0,0,0.0
6088552,8,0,0.0,1,12.5,0,0.0,0,0.0,0,0.0
6088846,60,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
6101856,132,0,0.0,2,1.5,0,0.0,1,0.8,0,0.0
6110646,12,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
6112641,316,1,0.3,2,0.6,1,0.3,0,0.0,0,0.0
6117854,22,0,0.0,0,0.0,0,0.0,1,4.5,0,0.0
6128095,24,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
6129377,15,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
6131933,14,1,7.1,0,0.0,0,0.0,0,0.0,1,7.1
6135969,52,0,0.0,1,1.9,0,0.0,0,0.0,0,0.0
6143234,9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
6148290,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
